. Sequence file : [Blattabacteria16S.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.39212   0.66860   0.19071  -1.25143  

  #51	21   	-7605.97552	Yes        	4        	0.256    	0.000    	 0.27703   0.20600   0.28386   0.23311	-1.07730   0.08892   0.65680   0.33158  
      	     	          	           	          	           	             	                                      	 0.11958  -0.89093   0.11860   0.65274  
      	     	          	           	          	           	             	                                      	 0.64098   0.08607  -0.87734   0.15028  
      	     	          	           	          	           	             	                                      	 0.39406   0.57684   0.18300  -1.15390  

  #52	21   	-7534.12816	Yes        	4        	0.206    	0.000    	 0.28497   0.19034   0.27709   0.24760	-1.01630   0.11886   0.60893   0.28850  
      	     	          	           	          	           	             	                                      	 0.17795  -1.07020   0.10486   0.78739  
      	     	          	           	          	           	             	                                      	 0.62624   0.07203  -0.84464   0.14637  
      	     	          	           	          	           	             	                                      	 0.33205   0.60529   0.16380  -1.10115  

  #53	21   	-7664.33625	Yes        	4        	0.211    	0.000    	 0.27755   0.19868   0.28629   0.23748	-1.06747   0.11180   0.68684   0.26883  
      	     	          	           	          	           	             	                                      	 0.15618  -1.00168   0.07900   0.76650  
      	     	          	           	          	           	             	                                      	 0.66588   0.05482  -0.84553   0.12483  
      	     	          	           	          	           	             	                                      	 0.31420   0.64127   0.15049  -1.10596  

  #54	21   	-7552.13651	Yes        	4        	0.253    	0.000    	 0.26151   0.19696   0.27967   0.26185	-1.11803   0.13165   0.66303   0.32334  
      	     	          	           	          	           	             	                                      	 0.17480  -0.98265   0.07840   0.72945  
      	     	          	           	          	           	             	                                      	 0.61999   0.05521  -0.84864   0.17343  
      	     	          	           	          	           	             	                                      	 0.32293   0.54868   0.18523  -1.05684  

  #55	21   	-7473.01697	Yes        	4        	0.216    	0.000    	 0.27494   0.18181   0.29192   0.25132	-1.00121   0.10938   0.58385   0.30799  
      	     	          	           	          	           	             	                                      	 0.16540  -1.16434   0.06318   0.93575  
      	     	          	           	          	           	             	                                      	 0.54987   0.03935  -0.73690   0.14767  
      	     	          	           	          	           	             	                                      	 0.33693   0.67694   0.17153  -1.18539  

  #56	21   	-7329.80464	Yes        	4        	0.219    	0.000    	 0.29215   0.19686   0.27785   0.23314	-0.99683   0.13661   0.55162   0.30859  
